labels,timestamp,value
{},1713178984,20.194839783027156
{},1713178989,21.265866295100835
{},1713178994,22.168771166393714
{},1713178999,23.099177552106255
{},1713179004,23.013483279943564
{},1713179009,23.002395547242415
{},1713179014,32.67168862230836
{},1713179019,43.74291170189792
{},1713179024,323.06720582586036
{},1713179029,570.0082004825379
{},1713179034,699.3915979326799
{},1713179039,789.199705675857
{},1713179044,801.2471794007142
{},1713179049,799.3555635722064
{},1713179054,974.0208582331611
{},1713179059,960.1457964731871
{},1713179064,956.5984194373477
{},1713179069,875.044512343572
{},1713179074,826.9142343219316
{},1713179079,757.651253225589
{},1713179084,731.2425457753227
{},1713179089,641.8299839464757
{},1713179094,669.751818358927
{},1713179099,594.7839943551119
{},1713179104,525.7789121734122
{},1713179109,487.7124961015412
{},1713179114,466.6310482766345
{},1713179119,458.38276537282314
{},1713179124,431.4103402260756
{},1713179129,427.73005085071014
{},1713179134,418.49982765704874
{},1713179139,416.1493754178807
{},1713179144,392.0987089225156
{},1713179149,387.02014268858454
{},1713179154,383.57608325074636
{},1713179159,377.4409672337622
{},1713179164,353.23383681978146
{},1713179169,346.3546861935176
{},1713179174,319.66364408770596
{},1713179179,311.3852779993554
{},1713179184,268.9271956967354
{},1713179189,265.6267111637879
{},1713179194,243.7726853929551
{},1713179199,242.35502375968892
{},1713179204,233.31116701217599
{},1713179209,231.5044267564341
{},1713179214,214.53483007475705
{},1713179219,209.4001015125417
{},1713179224,206.09916509689475
{},1713179229,198.35484102332396
{},1713179234,193.5848924653376
{},1713179239,187.600711014468
{},1713179244,184.05048911187873
{},1713179249,180.35558920549533
{},1713179254,180.29267247292702
{},1713179259,173.07207639396847
{},1713179264,194.82386844122044
{},1713179269,180.31888802382218
{},1713179274,190.79611085033326
{},1713179279,175.99095748197067
{},1713179284,184.27426927784555
{},1713179289,172.36673100831786
{},1713179294,182.12291856622005
{},1713179299,172.81833922145998
{},1713179304,171.8556466035839
{},1713179309,164.04015222162764
{},1713179314,157.5199639464719
{},1713179319,155.11960932808228
{},1713179324,151.81146592071454
{},1713179329,143.99796075121878
{},1713179334,136.22162801060716
{},1713179339,136.583053296745
{},1713179344,131.00983571677997
{},1713179349,127.06917707664532
{},1713179354,129.92716060284013
{},1713179359,134.15128121619935
{},1713179364,125.27328040765502
{},1713179369,123.72768940088204
{},1713179374,118.90154196791869
