labels,timestamp,value
{},1712880280,8.86
{},1712880285,9.66
{},1712880290,9.600000000000001
{},1712880295,10.16
{},1712880300,11.076600000000001
{},1712880305,11.549933333333335
{},1712880310,14.403975833333334
{},1712880315,15.474909166666666
{},1712880320,19.97586361111111
{},1712880325,21.612374722222224
{},1712880330,36.58693763888888
{},1712880335,40.66473208333334
{},1712880340,67.68749650000001
{},1712880345,74.12513449999999
{},1712880350,104.27333369444447
{},1712880355,113.76316147222222
{},1712880360,143.05575244444444
{},1712880365,154.0334562222223
{},1712880370,186.92966883333332
{},1712880375,199.90480583333343
{},1712880380,230.37327966666663
{},1712880385,235.42000000000002
{},1712880390,256.590983
{},1712880395,257.84
{},1712880400,292
{},1712880405,292.95273333333336
{},1712880410,351.0400000000001
{},1712880415,351.73273333333344
{},1712880420,410.48615466666655
{},1712880425,411.48483999999985
{},1712880430,488.4805026666667
{},1712880435,491.2873066666667
{},1712880440,579.4895106666667
{},1712880445,583.7709822222222
{},1712880450,662.0942560000001
{},1712880455,664.1327366666667
{},1712880460,742.1356106666665
{},1712880465,744.4906106666665
{},1712880470,851.0399999999997
{},1712880475,852.7999999999997
{},1712880480,937.2599999999999
{},1712880485,938.1599999999999
{},1712880490,1006.8
{},1712880495,1005.64
{},1712880500,1074.3999999999996
{},1712880505,1076.0799999999997
{},1712880510,1111.0599999999997
{},1712880515,1111.6399999999996
{},1712880520,1176.7999999999997
{},1712880525,1178.3599999999997
{},1712880530,1254.66
{},1712880535,1256.72
{},1712880540,1342.2
{},1712880545,1345.9400000000003
{},1712880550,1384.34
{},1712880555,1387.1399999999999
{},1712880560,1467.12
{},1712880565,1468.86
{},1712880570,1504.3600000000001
{},1712880575,1504.4999999999998
{},1712880580,1546.4799999999998
{},1712880585,1547.6
{},1712880590,1586.2
{},1712880595,1586.8400000000001
{},1712880600,1628.02
{},1712880605,1629.3400000000001
{},1712880610,1634.4599999999998
{},1712880615,1634.62
{},1712880620,1642.36
{},1712880625,1645.3999999999999
{},1712880630,1670.5
{},1712880635,1673.4799680012798
{},1712880640,1670.71996800128
{},1712880645,1671.7200000000003
{},1712880650,1709.44
{},1712880655,1709.12
{},1712880660,1752
{},1712880665,1754.3200000000002
{},1712880670,1758.6399999999999
{},1712880675,1757.5599999999997
{},1712880680,1754.3399999999997
{},1712880685,1753.3200320012797
{},1712880690,1767.5000320012803
{},1712880695,1767.5400000000002
{},1712880700,1739.1799999999998
{},1712880705,1737.98
{},1712880710,1748.06
{},1712880715,1743.8
{},1712880720,1801.1799999999996
{},1712880725,1800.6199999999994
{},1712880730,1804.1199999999997
{},1712880735,1803.9999999999998
{},1712880740,1821.7
{},1712880745,1820.76
{},1712880750,1840.9800000000007
{},1712880755,1841.3400000000006
{},1712880760,1855.1399999999996
{},1712880765,1856.6999280043194
{},1712880770,1836.0599280043193
{},1712880775,1834.2399999999996
{},1712880780,1842.1999999999998
{},1712880785,1840.26
{},1712880790,1846.7600000000002
{},1712880795,1847.6599999999999
{},1712880800,1883.96
{},1712880805,1885.1399999999996
{},1712880810,1887.8
{},1712880815,1889.3600720043205
{},1712880820,1916.8400720043203
{},1712880825,1921.2
{},1712880830,1961.22
{},1712880835,1961.8200000000002
{},1712880840,1996.4000000000003
{},1712880845,1994.6200000000001
{},1712880850,1974.4999999999998
{},1712880855,1972
{},1712880860,1930.8600000000004
{},1712880865,1928.1800000000003
{},1712880870,1865.9800000000005
{},1712880875,1863.6000000000004
{},1712880880,1841.04
{},1712880885,1842.2400000000002
