labels,timestamp,value
{},1712863832,3.7399999999999998
{},1712863837,3.98
{},1712863842,4.140000000000001
{},1712863847,4.380000000000001
{},1712863852,4.540000000000001
{},1712863857,18.83281333333333
{},1712863862,30.029939999999996
{},1712863867,86.58217
{},1712863872,110.94049333333332
{},1712863877,181.85807000000003
{},1712863882,216.80725444444445
{},1712863887,296.6925069444445
{},1712863892,337.1996166666666
{},1712863897,425.9069565000001
{},1712863902,473.601671
{},1712863907,591.645442
{},1712863912,656.3866726666665
{},1712863917,806.3894893333334
{},1712863922,850.74
{},1712863927,1055.52
{},1712863932,1084.3799999999999
{},1712863937,1267.84
{},1712863942,1297.04
{},1712863947,1521.1200000000001
{},1712863952,1554.38
{},1712863957,1752.66
{},1712863962,1783.98
{},1712863967,1931.66
{},1712863972,1944.9800000000002
{},1712863977,2023.18
{},1712863982,2034.56
{},1712863987,2107.84
{},1712863992,2118.8999999999996
{},1712863997,2166.54
{},1712864002,2159.04
{},1712864007,1898.1200000000001
{},1712864012,1840.2000000000003
{},1712864017,1473.3000000000002
{},1712864022,1419.8200000000002
{},1712864027,1043.58
{},1712864032,987.6785199999999
{},1712864037,620.75852
{},1712864042,568.5095233333332
{},1712864047,180.39842666666667
{},1712864052,139.10608000000005
{},1712864057,44.307491666666664
{},1712864062,50.01330388888889
{},1712864067,57.58532666666666
{},1712864072,63.34469861111113
{},1712864077,70.98331
{},1712864082,75.57757516666666
{},1712864087,79.36000000000001
{},1712864092,78.66000000000001
{},1712864097,78.06
{},1712864102,78.24000000000001
{},1712864107,77.88
{},1712864112,77.75999999999999
{},1712864117,77.42
{},1712864122,77.46000000000001
{},1712864127,76.3
{},1712864132,76.34
{},1712864137,77.64000000000001
{},1712864142,77.36
{},1712864147,76
{},1712864152,75.52
{},1712864157,74.72
{},1712864162,74.16000000000001
{},1712864167,73.12
{},1712864172,72.18
{},1712864177,72.38
{},1712864182,72.33999999999999
{},1712864187,70.80000000000001
{},1712864192,70.69999999999999
{},1712864197,69.78
{},1712864202,69.4
{},1712864207,69.7
{},1712864212,70.3
{},1712864217,70.89999999999999
{},1712864222,71.6
{},1712864227,72.34
{},1712864232,72.82000000000001
{},1712864237,74.12
{},1712864242,74.1
{},1712864247,76.24
{},1712864252,76.84
{},1712864257,75.94000000000001
{},1712864262,75.06
{},1712864267,75.7
{},1712864272,75.96
{},1712864277,75.84
{},1712864282,75.48
{},1712864287,74.80000000000001
{},1712864292,75.4
{},1712864297,75.32
{},1712864302,75.36
{},1712864307,77.5
{},1712864312,78.67999999999999
{},1712864317,125.01999999999997
{},1712864322,151.06
{},1712864327,492.14
{},1712864332,548.5799999999999
{},1712864337,969.04
{},1712864342,1028.5800000000002
{},1712864347,1450.9399999999998
{},1712864352,1507.3999999999999
{},1712864357,1894.5399999999997
{},1712864362,1952.2
{},1712864367,2299.62
{},1712864372,2327.1600000000003
{},1712864377,2404.1200000000003
