labels,timestamp,value
{},1712634425,4.28
{},1712634430,4.28
{},1712634435,4.680000000000001
{},1712634440,4.680000000000001
{},1712634445,5.08
{},1712634450,12.007163333333335
{},1712634455,17.722614999999998
{},1712634460,34.685716666666664
{},1712634465,45.71472416666666
{},1712634470,107.04255027777778
{},1712634475,130.98525166666664
{},1712634480,194.84716694444447
{},1712634485,224.00149666666667
{},1712634490,279.4131307222222
{},1712634495,310.47607544444446
{},1712634500,376.07911566666667
{},1712634505,416.007871
{},1712634510,492.18957066666667
{},1712634515,542.5100966666668
{},1712634520,620.1200000000002
{},1712634525,634.4600000000002
{},1712634530,765.12
{},1712634535,785.14
{},1712634540,926.74
{},1712634545,947.5600000000001
{},1712634550,1100.3799999999999
{},1712634555,1125.7999999999997
{},1712634560,1279.4599999999998
{},1712634565,1298.04
{},1712634570,1387.48
{},1712634575,1397.6799999999998
{},1712634580,1439.92
{},1712634585,1447.3
{},1712634590,1487.62
{},1712634595,1493.76
{},1712634600,1444.22
{},1712634605,1424.92
{},1712634610,1292.16
{},1712634615,1285.24
{},1712634620,1301.7
{},1712634625,1302.72
{},1712634630,1278
{},1712634635,1273.6599999999999
{},1712634640,1287.0999999999997
{},1712634645,1289.6599999999999
{},1712634650,1338.3999999999999
{},1712634655,1353.4399999999998
{},1712634660,1454.88
{},1712634665,1462.6000000000001
{},1712634670,1482.0600000000002
{},1712634675,1484.5
{},1712634680,1486.2599999999998
{},1712634685,1486.2999999999997
{},1712634690,1491.5
{},1712634695,1492.42
{},1712634700,1534.3399999999997
{},1712634705,1540.6799999999998
{},1712634710,1569.4600000000003
{},1712634715,1572.82
{},1712634720,1487.18
{},1712634725,1475.64
{},1712634730,1543.5
{},1712634735,1553.62
{},1712634740,1577.68
{},1712634745,1580.9200000000003
{},1712634750,1618.56
{},1712634755,1624.72
{},1712634760,1672.8799999999997
{},1712634765,1681.2199999999996
{},1712634770,1822.8799999999997
{},1712634775,1844.5599999999997
{},1712634780,1861.46
{},1712634785,1862.0000000000002
{},1712634790,1853.0600000000002
{},1712634795,1852.68
{},1712634800,1848.6999999999998
